"v /In0; tran (V)","Offsetf_N","Offsetr_N","Offsetf_P","Offsetr_P","Offsetf_R","Offsetr_R","Offset_N","Offset_P","Offset_R"
wave,-3.35000000000003e-3,-3.35000000000003e-3,-3.05000000000003e-3,-2.75000000000003e-3,4.44999999999997e-3,5.04999999999997e-3,-3.35000000000003e-3,-2.90000000000003e-3,4.74999999999997e-3
wave,849.999999999969e-6,1.14999999999997e-3,-350.000000000031e-6,-50.0000000000325e-6,-2.45000000000003e-3,-2.15000000000003e-3,999.999999999968e-6,-200.000000000032e-6,-2.30000000000003e-3
wave,-6.05000000000003e-3,-5.75000000000003e-3,-950.000000000031e-6,-650.000000000032e-6,8.94999999999997e-3,9.24999999999997e-3,-5.90000000000003e-3,-800.000000000032e-6,9.09999999999997e-3
wave,10.15e-3,10.45e-3,11.35e-3,11.65e-3,-2.75000000000003e-3,-2.45000000000003e-3,10.3e-3,11.5e-3,-2.60000000000003e-3
wave,2.04999999999997e-3,2.04999999999997e-3,-50.000000000031e-6,249.999999999967e-6,4.14999999999997e-3,4.74999999999997e-3,2.04999999999997e-3,99.9999999999682e-6,4.44999999999997e-3
wave,5.64999999999997e-3,5.94999999999997e-3,-950.000000000031e-6,-650.000000000032e-6,3.54999999999997e-3,3.84999999999997e-3,5.79999999999997e-3,-800.000000000032e-6,3.69999999999997e-3
wave,-5.15000000000003e-3,-4.85000000000003e-3,-350.000000000031e-6,-50.0000000000325e-6,4.74999999999997e-3,4.74999999999997e-3,-5.00000000000003e-3,-200.000000000032e-6,4.74999999999997e-3
wave,549.999999999969e-6,849.999999999967e-6,5.64999999999997e-3,5.94999999999997e-3,-2.45000000000003e-3,-2.15000000000003e-3,699.999999999968e-6,5.79999999999997e-3,-2.30000000000003e-3
wave,-1.25000000000003e-3,-950.000000000032e-6,6.54999999999997e-3,6.84999999999997e-3,4.44999999999997e-3,5.04999999999997e-3,-1.10000000000003e-3,6.69999999999997e-3,4.74999999999997e-3
wave,-2.15000000000003e-3,-1.85000000000003e-3,-9.95000000000003e-3,-9.65000000000003e-3,-50.000000000031e-6,249.999999999967e-6,-2.00000000000003e-3,-9.80000000000003e-3,99.9999999999682e-6
wave,-9.95000000000003e-3,-9.65000000000003e-3,-1.55000000000003e-3,-1.25000000000003e-3,-6.95000000000003e-3,-6.35000000000003e-3,-9.80000000000003e-3,-1.40000000000003e-3,-6.65000000000003e-3
wave,4.44999999999997e-3,4.74999999999997e-3,3.24999999999997e-3,3.54999999999997e-3,249.999999999969e-6,849.999999999967e-6,4.59999999999997e-3,3.39999999999997e-3,549.999999999968e-6
wave,-2.45000000000003e-3,-2.15000000000003e-3,-7.85000000000003e-3,-7.85000000000003e-3,2.04999999999997e-3,2.34999999999997e-3,-2.30000000000003e-3,-7.85000000000003e-3,2.19999999999997e-3
wave,-1.85000000000003e-3,-1.25000000000003e-3,12.55e-3,12.85e-3,-650.000000000031e-6,-50.0000000000326e-6,-1.55000000000003e-3,12.7e-3,-350.000000000032e-6
wave,1.44999999999997e-3,1.44999999999997e-3,-4.55000000000003e-3,-4.25000000000003e-3,2.94999999999997e-3,3.24999999999997e-3,1.44999999999997e-3,-4.40000000000003e-3,3.09999999999997e-3
wave,1.14999999999997e-3,1.44999999999997e-3,9.54999999999997e-3,9.84999999999997e-3,-12.95e-3,-12.35e-3,1.29999999999997e-3,9.69999999999997e-3,-12.65e-3
wave,4.44999999999997e-3,4.74999999999997e-3,-4.55000000000003e-3,-4.25000000000003e-3,-12.65e-3,-12.05e-3,4.59999999999997e-3,-4.40000000000003e-3,-12.35e-3
